emp_id,name,address,salary,dob,nin,department,emergency_name,emergency_relationship,emergency_phone
22-3708071,Rab Feast,9503 Buell Drive,"£30,397.56 ",01/04/1986,rb499211c,HR,Jereme Slayford,Girlfriend,07721 065 357
49-2217652,Georas Divisek,25 Moulton Lane,"£87,452.13 ",10/05/1951,ht175666x,Packager,Nessy Panting,Civil Partner,07326 502 172
40-5288701,Ame Balser,2282 Sutteridge Lane,"£71,557.80 ",22/01/1998,dt545040m,Packager,Kipp Lavens,Boyfriend,07489 365 686
78-6321379,Thea Bradborne,3118 Lien Circle,"£35,665.99 ",27/09/1967,vb943949c,Driver,Theo Sheard,Mother,07356 401 825
41-3659990,Ruperta Stobie,2825 Pepper Wood Center,"£83,681.20 ",17/09/1976,qf137469l,Packager,Joly Doram,Girlfriend,07106 575 891
43-8492699,Hortense Berecloth,2 Barby Parkway,"£38,548.00 ",29/07/1987,zt656754o,Driver,Baird Fingleton,Boyfriend,07789 751 694
68-4171892,Yoshi Peakman,641 Warner Point,"£20,293.38 ",06/03/1953,to907441w,Packager,Patty Horsburgh,Husband,07924 918 978
72-5913162,Rudolfo Norridge,22 Golf Court,"£37,428.03 ",24/08/1968,du615694i,Packager,Frazier Snelman,Boyfriend,07235 513 354
07-4517183,Rochell O'Doohaine,1802 Hayes Court,"£25,471.21 ",08/11/1973,rz111360g,Packager,Regan Yarn,Mother,07967 811 408
55-0320348,Granville McKitterick,04 Rieder Parkway,"£83,664.78 ",20/02/1965,dr180938w,Driver,Zita Stanborough,Mother,07532 693 273
59-8314806,Scotty Keson,14 Kipling Point,"£67,107.29 ",12/08/1967,gx924268x,Packager,Norrie Aggis,Husband,07390 692 263
66-0739491,Latashia McGaugan,1386 Artisan Parkway,"£58,941.46 ",08/07/1992,nz662678p,Manager,Eada Silmon,Wife,07007 182 872
98-1678319,Lamar Chesters,2234 Heffernan Place,"£97,090.47 ",01/02/1952,wh660279o,Driver,Maryjo Elgie,Wife,07007 723 133
